text,split_sentences
I think the good ole timbre of a straight nylon string guitar can sound this way in the hands of a skilled player,"[('I', 0), ('think', 0), ('the', 0), ('good', 0), ('ole', 0), ('timbre', 0), ('of', 0), ('a', 0), ('straight', 0), ('nylon', 0), ('string', 0), ('guitar', 0), ('can', 0), ('sound', 0), ('this', 0), ('way', 0), ('in', 0), ('the', 0), ('hands', 0), ('of', 0), ('a', 0), ('skilled', 0), ('player', 0)]"
One sneaky trick you have for an impressive bass guitar timbre,"[('One', 0), ('sneaky', 0), ('trick', 0), ('you', 0), ('have', 0), ('for', 0), ('an', 0), ('impressive', 0), ('bass', 0), ('guitar', 0), ('timbre', 0)]"
I was gonna say buy a musicman but if I m gonna try to not be a dick When you boost a frequency in your bass also cut it in anything that may take up that same range edit thats some nice round juicy bass,"[('I', 0), ('was', 0), ('gonna', 0), ('say', 0), ('buy', 0), ('a', 0), ('musicman', 0), ('but', 0), ('if', 0), ('I', 0), ('m', 0), ('gonna', 0), ('try', 0), ('to', 0), ('not', 0), ('be', 0), ('a', 0), ('dick', 0), ('When', 0), ('you', 0), ('boost', 0), ('a', 0), ('frequency', 0), ('in', 0), ('your', 0), ('bass', 1), ('also', 0), ('cut', 0), ('it', 0), ('in', 0), ('anything', 0), ('that', 0), ('may', 0), ('take', 0), ('up', 0), ('that', 0), ('same', 0), ('range', 0), ('edit', 0), ('thats', 0), ('some', 0), ('nice', 0), ('round', 2), ('juicy', 0), ('bass', 1)]"
If you re having these types of problems put your compressor before your EQ in the signal chain Then on your EQ 700-800 is the magic range for that snappiness in the bass An alternative and more dramatic technique is to create a send for your bass channel to an auxiliary channel pre-fader and do the following 1 Compress the crap out of it -35db threshold 10 1 ratio nastiness 2 Run an amp simulator on it SansAmp works fine Add some gain drive distortion turn down the bass and turn up the mids and highs This shoudl give you a higher grungy distorted bass sound 3 Bring this down and gently bring it up into the mix You re not really wanting to hear this much audibly but adding this textured double will help the bass cut through the mix a bit,"[('If', 0), ('you', 0), ('re', 0), ('having', 0), ('these', 0), ('types', 0), ('of', 0), ('problems', 0), ('put', 0), ('your', 0), ('compressor', 0), ('before', 0), ('your', 0), ('EQ', 0), ('in', 0), ('the', 0), ('signal', 0), ('chain', 0), ('Then', 0), ('on', 0), ('your', 0), ('EQ', 0), ('700-800', 0), ('is', 0), ('the', 0), ('magic', 0), ('range', 0), ('for', 0), ('that', 0), ('snappiness', 2), ('in', 0), ('the', 0), ('bass', 1), ('An', 0), ('alternative', 0), ('and', 0), ('more', 0), ('dramatic', 0), ('technique', 0), ('is', 0), ('to', 0), ('create', 0), ('a', 0), ('send', 0), ('for', 0), ('your', 0), ('bass', 1), ('channel', 0), ('to', 0), ('an', 0), ('auxiliary', 0), ('channel', 0), ('pre-fader', 0), ('and', 0), ('do', 0), ('the', 0), ('following', 0), ('1', 0), ('Compress', 0), ('the', 0), ('crap', 0), ('out', 0), ('of', 0), ('it', 0), ('-35db', 0), ('threshold', 0), ('10', 0), ('1', 0), ('ratio', 0), ('nastiness', 0), ('2', 0), ('Run', 0), ('an', 0), ('amp', 0), ('simulator', 0), ('on', 0), ('it', 0), ('SansAmp', 0), ('works', 0), ('fine', 0), ('Add', 0), ('some', 0), ('gain', 0), ('drive', 0), ('distortion', 2), ('turn', 0), ('down', 0), ('the', 0), ('bass', 1), ('and', 0), ('turn', 0), ('up', 0), ('the', 0), ('mids', 0), ('and', 0), ('highs', 0), ('This', 0), ('shoudl', 0), ('give', 0), ('you', 0), ('a', 0), ('higher', 0), ('grungy', 2), ('distorted', 0), ('bass', 1), ('sound', 0), ('3', 0), ('Bring', 0), ('this', 0), ('down', 0), ('and', 0), ('gently', 0), ('bring', 0), ('it', 0), ('up', 0), ('into', 0), ('the', 0), ('mix', 0), ('You', 0), ('re', 0), ('not', 0), ('really', 0), ('wanting', 0), ('to', 0), ('hear', 0), ('this', 0), ('much', 0), ('audibly', 0), ('but', 0), ('adding', 0), ('this', 0), ('textured', 0), ('double', 0), ('will', 0), ('help', 0), ('the', 0), ('bass', 1), ('cut', 0), ('through', 0), ('the', 0), ('mix', 0), ('a', 0), ('bit', 0)]"
Example This is a sample from the test dataset We want to label intruments such as guitars and qualities such as bright,"[('Example', 0), ('This', 0), ('is', 0), ('a', 0), ('sample', 0), ('from', 0), ('the', 0), ('test', 0), ('dataset', 0), ('We', 0), ('want', 0), ('to', 0), ('label', 0), ('intruments', 0), ('such', 0), ('as', 0), ('guitars', 1), ('and', 0), ('qualities', 0), ('such', 0), ('as', 0), ('bright', 2)]"
I think you ll need to pay attention to dynamics and not just frequency content Have you tried playing with a compressor on your bass track,"[('I', 0), ('think', 0), ('you', 0), ('ll', 0), ('need', 0), ('to', 0), ('pay', 0), ('attention', 0), ('to', 0), ('dynamics', 0), ('and', 0), ('not', 0), ('just', 0), ('frequency', 0), ('content', 0), ('Have', 0), ('you', 0), ('tried', 0), ('playing', 0), ('with', 0), ('a', 0), ('compressor', 0), ('on', 0), ('your', 0), ('bass', 1), ('track', 0)]"
Guitar amp sim in ADDITION to my clean bass guitar I compress it really good and in a separate track I add a guitar amp sim on it with some light distortion Find a balance that sounds good in the mix and it sounds good enough to take a bite out of,"[('Guitar', 0), ('amp', 0), ('sim', 0), ('in', 0), ('ADDITION', 0), ('to', 0), ('my', 0), ('clean', 0), ('bass', 0), ('guitar', 0), ('I', 0), ('compress', 0), ('it', 0), ('really', 0), ('good', 0), ('and', 0), ('in', 0), ('a', 0), ('separate', 0), ('track', 0), ('I', 0), ('add', 0), ('a', 0), ('guitar', 0), ('amp', 0), ('sim', 0), ('on', 0), ('it', 0), ('with', 0), ('some', 0), ('light', 0), ('distortion', 0), ('Find', 0), ('a', 0), ('balance', 0), ('that', 0), ('sounds', 0), ('good', 0), ('in', 0), ('the', 0), ('mix', 0), ('and', 0), ('it', 0), ('sounds', 0), ('good', 0), ('enough', 0), ('to', 0), ('take', 0), ('a', 0), ('bite', 0), ('out', 0), ('of', 0)]"
I like to put some distortion or tube saturation on it,"[('I', 0), ('like', 0), ('to', 0), ('put', 0), ('some', 0), ('distortion', 2), ('or', 0), ('tube', 0), ('saturation', 0), ('on', 0), ('it', 0)]"
Math rock from what I understand It used to refer to music with heavily distorted guitars and a raw sound that incorporated complex drumming and rhythms like polvo Now everybody seems to use it as a synonym for American football knockoffs - that twinkly clean-as-can-be guitar sound that happens to be in weird time signatures,"[('Math', 0), ('rock', 0), ('from', 0), ('what', 0), ('I', 0), ('understand', 0), ('It', 0), ('used', 0), ('to', 0), ('refer', 0), ('to', 0), ('music', 0), ('with', 0), ('heavily', 0), ('distorted', 0), ('guitars', 0), ('and', 0), ('a', 0), ('raw', 0), ('sound', 0), ('that', 0), ('incorporated', 0), ('complex', 0), ('drumming', 0), ('and', 0), ('rhythms', 0), ('like', 0), ('polvo', 0), ('Now', 0), ('everybody', 0), ('seems', 0), ('to', 0), ('use', 0), ('it', 0), ('as', 0), ('a', 0), ('synonym', 0), ('for', 0), ('American', 0), ('football', 0), ('knockoffs', 0), ('-', 0), ('that', 0), ('twinkly', 2), ('clean-as-can-be', 0), ('guitar', 0), ('sound', 0), ('that', 0), ('happens', 0), ('to', 0), ('be', 0), ('in', 0), ('weird', 0), ('time', 0), ('signatures', 0)]"
Post rock used to be a lot broader described bands with quite different sounds like Slint Tortoise or Talk Talk Feels like now it is more narrow bands tend to sound like EITS clones with that chiming guitar sound and big crescendos,"[('Post', 0), ('rock', 0), ('used', 0), ('to', 0), ('be', 0), ('a', 0), ('lot', 0), ('broader', 0), ('described', 0), ('bands', 0), ('with', 0), ('quite', 0), ('different', 0), ('sounds', 0), ('like', 0), ('Slint', 0), ('Tortoise', 0), ('or', 0), ('Talk', 0), ('Talk', 0), ('Feels', 0), ('like', 0), ('now', 0), ('it', 0), ('is', 0), ('more', 0), ('narrow', 0), ('bands', 0), ('tend', 0), ('to', 0), ('sound', 0), ('like', 0), ('EITS', 0), ('clones', 0), ('with', 0), ('that', 0), ('chiming', 0), ('guitar', 1), ('sound', 0), ('and', 0), ('big', 0), ('crescendos', 0)]"
Dream Pop originally almost exclusively referred to the acts that we now refer to as Shoegaze along with AR Kane who coined the former term and influenced some of the acts in question with the two now being considered something somewhat separate I suppose there s still a dreaminess to Dream Pop still but it s quite a bit broader than it was before seemingly covering any artist or genre that uses a chorus effect and reverb and now covers a lot of acts that weren t associated with the term at the time Modern Dream Pop sounds more like Indie Soft Rock than anything especially derived from Post Punk for as much of it is compared to Cocteau Twins I get more of a poorman s Fleetwood Mac vibe from most of the modern acts,"[('Dream', 0), ('Pop', 0), ('originally', 0), ('almost', 0), ('exclusively', 0), ('referred', 0), ('to', 0), ('the', 0), ('acts', 0), ('that', 0), ('we', 0), ('now', 0), ('refer', 0), ('to', 0), ('as', 0), ('Shoegaze', 0), ('along', 0), ('with', 0), ('AR', 0), ('Kane', 0), ('who', 0), ('coined', 0), ('the', 0), ('former', 0), ('term', 0), ('and', 0), ('influenced', 0), ('some', 0), ('of', 0), ('the', 0), ('acts', 0), ('in', 0), ('question', 0), ('with', 0), ('the', 0), ('two', 0), ('now', 0), ('being', 0), ('considered', 0), ('something', 0), ('somewhat', 0), ('separate', 0), ('I', 0), ('suppose', 0), ('there', 0), ('s', 0), ('still', 0), ('a', 0), ('dreaminess', 0), ('to', 0), ('Dream', 0), ('Pop', 0), ('still', 0), ('but', 0), ('it', 0), ('s', 0), ('quite', 0), ('a', 0), ('bit', 0), ('broader', 0), ('than', 0), ('it', 0), ('was', 0), ('before', 0), ('seemingly', 0), ('covering', 0), ('any', 0), ('artist', 0), ('or', 0), ('genre', 0), ('that', 0), ('uses', 0), ('a', 0), ('chorus', 0), ('effect', 0), ('and', 0), ('reverb', 2), ('and', 0), ('now', 0), ('covers', 0), ('a', 0), ('lot', 0), ('of', 0), ('acts', 0), ('that', 0), ('weren', 0), ('t', 0), ('associated', 0), ('with', 0), ('the', 0), ('term', 0), ('at', 0), ('the', 0), ('time', 0), ('Modern', 0), ('Dream', 0), ('Pop', 0), ('sounds', 0), ('more', 0), ('like', 0), ('Indie', 0), ('Soft', 0), ('Rock', 0), ('than', 0), ('anything', 0), ('especially', 0), ('derived', 0), ('from', 0), ('Post', 0), ('Punk', 0), ('for', 0), ('as', 0), ('much', 0), ('of', 0), ('it', 0), ('is', 0), ('compared', 0), ('to', 0), ('Cocteau', 0), ('Twins', 0), ('I', 0), ('get', 0), ('more', 0), ('of', 0), ('a', 0), ('poorman', 0), ('s', 0), ('Fleetwood', 0), ('Mac', 0), ('vibe', 0), ('from', 0), ('most', 0), ('of', 0), ('the', 0), ('modern', 0), ('acts', 0)]"
Keep Your Eyes Peeled Cover - Recorded live bass and drums only,"[('Keep', 0), ('Your', 0), ('Eyes', 0), ('Peeled', 0), ('Cover', 0), ('-', 0), ('Recorded', 0), ('live', 0), ('bass', 0), ('and', 0), ('drums', 0), ('only', 0)]"
Great post I must say whilst it s widely accepted i think that Nick didn t actually own or record with the Guild M-20 a lot of the videos I ve seen showcasing that particular guitar do sound close to the general sound of Pink Moon That s probably some sort of confirmation bias on my part though either way they re beautiful looking and sounding guitars I ve been fighting the urge to order one even though I m sure I d love it The best thing for me since discovering Nick s music is that I m no longer too bothered about changing my strings as often as i might otherwise have done Several sources have stated he played with super dead old strings and I must admit the deader my current set get the more I like them,"[('Great', 0), ('post', 0), ('I', 0), ('must', 0), ('say', 0), ('whilst', 0), ('it', 0), ('s', 0), ('widely', 0), ('accepted', 0), ('i', 0), ('think', 0), ('that', 0), ('Nick', 0), ('didn', 0), ('t', 0), ('actually', 0), ('own', 0), ('or', 0), ('record', 0), ('with', 0), ('the', 0), ('Guild', 0), ('M-20', 0), ('a', 0), ('lot', 0), ('of', 0), ('the', 0), ('videos', 0), ('I', 0), ('ve', 0), ('seen', 0), ('showcasing', 0), ('that', 0), ('particular', 0), ('guitar', 0), ('do', 0), ('sound', 0), ('close', 0), ('to', 0), ('the', 0), ('general', 0), ('sound', 0), ('of', 0), ('Pink', 0), ('Moon', 0), ('That', 0), ('s', 0), ('probably', 0), ('some', 0), ('sort', 0), ('of', 0), ('confirmation', 0), ('bias', 0), ('on', 0), ('my', 0), ('part', 0), ('though', 0), ('either', 0), ('way', 0), ('they', 0), ('re', 0), ('beautiful', 0), ('looking', 0), ('and', 0), ('sounding', 0), ('guitars', 1), ('I', 0), ('ve', 0), ('been', 0), ('fighting', 0), ('the', 0), ('urge', 0), ('to', 0), ('order', 0), ('one', 0), ('even', 0), ('though', 0), ('I', 0), ('m', 0), ('sure', 0), ('I', 0), ('d', 0), ('love', 0), ('it', 0), ('The', 0), ('best', 0), ('thing', 0), ('for', 0), ('me', 0), ('since', 0), ('discovering', 0), ('Nick', 0), ('s', 0), ('music', 0), ('is', 0), ('that', 0), ('I', 0), ('m', 0), ('no', 0), ('longer', 0), ('too', 0), ('bothered', 0), ('about', 0), ('changing', 0), ('my', 0), ('strings', 0), ('as', 0), ('often', 0), ('as', 0), ('i', 0), ('might', 0), ('otherwise', 0), ('have', 0), ('done', 0), ('Several', 0), ('sources', 0), ('have', 0), ('stated', 0), ('he', 0), ('played', 0), ('with', 0), ('super', 0), ('dead', 0), ('old', 0), ('strings', 0), ('and', 0), ('I', 0), ('must', 0), ('admit', 0), ('the', 0), ('deader', 0), ('my', 0), ('current', 0), ('set', 0), ('get', 0), ('the', 0), ('more', 0), ('I', 0), ('like', 0), ('them', 0)]"
More about his tone rather than the actual guitars but you might like this as another commenter said it definitely seems like he used somewhat dead strings,"[('More', 0), ('about', 0), ('his', 0), ('tone', 0), ('rather', 0), ('than', 0), ('the', 0), ('actual', 0), ('guitars', 0), ('but', 0), ('you', 0), ('might', 0), ('like', 0), ('this', 0), ('as', 0), ('another', 0), ('commenter', 0), ('said', 0), ('it', 0), ('definitely', 0), ('seems', 0), ('like', 0), ('he', 0), ('used', 0), ('somewhat', 0), ('dead', 0), ('strings', 0)]"
I see a lot of talk of him using Martin models such as the d28 or the 000-28 later on in his life I believe I 2019m correct in saying he owned a 000-28 later on but I 2019m not very sure But a big question of mine is just how much of his music did he record using a classical style guitar If I have to take a guess based off common knowledge I would have said he used a classical for fingerpicking arrangements and his martins for strumming If anyone knows a bit more than me on this feel free to correct me on any of this,"[('I', 0), ('see', 0), ('a', 0), ('lot', 0), ('of', 0), ('talk', 0), ('of', 0), ('him', 0), ('using', 0), ('Martin', 0), ('models', 0), ('such', 0), ('as', 0), ('the', 0), ('d28', 0), ('or', 0), ('the', 0), ('000-28', 1), ('later', 0), ('on', 0), ('in', 0), ('his', 0), ('life', 0), ('I', 0), ('believe', 0), ('I', 0), ('2019m', 0), ('correct', 0), ('in', 0), ('saying', 0), ('he', 0), ('owned', 0), ('a', 0), ('000-28', 1), ('later', 0), ('on', 0), ('but', 0), ('I', 0), ('2019m', 0), ('not', 0), ('very', 0), ('sure', 0), ('But', 0), ('a', 0), ('big', 0), ('question', 0), ('of', 0), ('mine', 0), ('is', 0), ('just', 0), ('how', 0), ('much', 0), ('of', 0), ('his', 0), ('music', 0), ('did', 0), ('he', 0), ('record', 0), ('using', 0), ('a', 0), ('classical', 0), ('style', 0), ('guitar', 0), ('If', 0), ('I', 0), ('have', 0), ('to', 0), ('take', 0), ('a', 0), ('guess', 0), ('based', 0), ('off', 0), ('common', 0), ('knowledge', 0), ('I', 0), ('would', 0), ('have', 0), ('said', 0), ('he', 0), ('used', 0), ('a', 0), ('classical', 0), ('for', 0), ('fingerpicking', 0), ('arrangements', 0), ('and', 0), ('his', 0), ('martins', 0), ('for', 0), ('strumming', 0), ('If', 0), ('anyone', 0), ('knows', 0), ('a', 0), ('bit', 0), ('more', 0), ('than', 0), ('me', 0), ('on', 0), ('this', 0), ('feel', 0), ('free', 0), ('to', 0), ('correct', 0), ('me', 0), ('on', 0), ('any', 0), ('of', 0), ('this', 0)]"
